Week,Index
2011-08-07 - 2011-08-13,94
2011-08-14 - 2011-08-20,95
2011-08-21 - 2011-08-27,88
2011-08-28 - 2011-09-03,89
2011-09-04 - 2011-09-10,87
2011-09-11 - 2011-09-17,89
2011-09-18 - 2011-09-24,84
2011-09-25 - 2011-10-01,85
2011-10-02 - 2011-10-08,85
2011-10-09 - 2011-10-15,84
2011-10-16 - 2011-10-22,100
2011-10-23 - 2011-10-29,83
2011-10-30 - 2011-11-05,83
2011-11-06 - 2011-11-12,82
2011-11-13 - 2011-11-19,80
2011-11-20 - 2011-11-26,72
2011-11-27 - 2011-12-03,77
2011-12-04 - 2011-12-10,80
2011-12-11 - 2011-12-17,75
2011-12-18 - 2011-12-24,78
2011-12-25 - 2011-12-31,92
2012-01-01 - 2012-01-07,99
2012-01-08 - 2012-01-14,99
2012-01-15 - 2012-01-21,93
2012-01-22 - 2012-01-28,91
2012-01-29 - 2012-02-04,87
2012-02-05 - 2012-02-11,87
2012-02-12 - 2012-02-18,89
2012-02-19 - 2012-02-25,90
2012-02-26 - 2012-03-03,86
2012-03-04 - 2012-03-10,89
2012-03-11 - 2012-03-17,89
2012-03-18 - 2012-03-24,87
2012-03-25 - 2012-03-31,87
2012-04-01 - 2012-04-07,89
2012-04-08 - 2012-04-14,88
2012-04-15 - 2012-04-21,87
2012-04-22 - 2012-04-28,85
2012-04-29 - 2012-05-05,87
2012-05-06 - 2012-05-12,84
2012-05-13 - 2012-05-19,83
2012-05-20 - 2012-05-26,86
2012-05-27 - 2012-06-02,82
2012-06-03 - 2012-06-09,86
2012-06-10 - 2012-06-16,88
2012-06-17 - 2012-06-23,85
2012-06-24 - 2012-06-30,85
2012-07-01 - 2012-07-07,84
2012-07-08 - 2012-07-14,91
2012-07-15 - 2012-07-21,89
2012-07-22 - 2012-07-28,88
2012-07-29 - 2012-08-04,83
